title,author,google_id,recommender,recommender_count,category,publication_date,pages
Rick and Morty Book Two,Zac Gorman,gDMGDAAAQBAJ,Naval Ravikant,1,Humor,2016,128
Riders of the Purple Sage,Zane Grey,PWBTzQEACAAJ,Tim O’Reilly,1,,2020,284
Rilke on Love and Other Difficulties,Rainer Maria Rilke,FgRSAwAAQBAJ,Sophia Amoruso,1,Poetry,1994,117
Rilke's Book of Hours,Rainer Maria Rilke,INzND5mOuRgC,Krista Tippett,1,Poetry,2005,257
Ring,Jonathan Yardley,kJRRZn2sYnYC,Stephen Dubner,1,Biography & Autobiography,2001,448
Ringside,Scott Beekman,SzAHxRZtreQC,Eric Weinstein,1,Business & Economics,2006,188
Rise of the Mystics,Ted Dekker,lQhYDwAAQBAJ,Aubrey Marcus,1,Fiction,2018,416
River Out of Eden,Richard Dawkins,DxmKvnPyBSoC,Ray Dalio,1,Science,2008,192
River Town,Peter Hessler,-aQBAgAAQBAJ,Patrick Collison,1,Travel,2013,416
"River, Cross My Heart",Breena Clarke,X6KibwAACAAJ,Oprah Winfrey,1,African American families,2000,245
Rocket Men,Robert Kurson,nKorDwAAQBAJ,Keith Rabois,1,History,2018,384
Rome and Jerusalem,Martin Goodman,PrH56LHsxF0C,Rainn Wilson,1,History,2008,656
Ruby,Cynthia Bond,ZLuVDAAAQBAJ,Oprah Winfrey,1,Fiction,2015,200
Rules for Radicals,Saul D. Alinsky,4LbvAQAACAAJ,Ryan Holiday,1,,1972,
Running Blind,Lee Child,B3hutm39Fa8C,Malcolm Gladwell,1,Fiction,2007,498
SOG Chronicles,John Stryker Meyer,gC2stQEACAAJ,Jocko Willink,1,"Vietnam War, 1961-1975",2018,206
SPIN Selling,Neil Rackham,Xc2qtAEACAAJ,Noah Kagan,1,Sales management,2017,238
Sacred Economics,Charles Eisenstein,bCeeKtQsunAC,Alex Honnold,1,Political Science,2011,496
Salt Sugar Fat,Michael Moss,_TAMKzMJ3w4C,Scott Adams,1,Business & Economics,2013,352
"Salt, Fat, Acid, Heat",Samin Nosrat,yvqxDgAAQBAJ,Ben Silbermann,1,Cooking,2017,480
Samuel Johnson,Samuel Johnson,oL_fh83zidwC,Gretchen Rubin,1,,1825,
Sapiens,Yuval Noah Harari,FmyBAwAAQBAJ,Ashton Kutcher|Bill Gates|Daniel Ek|James Cameron|Joe Rogan|Keith Rabois|Lex Fridman|Mark Zuckerberg|Naval Ravikant|Peter Attia|Ray Dalio|Reid Hoffman|Richard Branson|Ryan Shea|Sam Kass|Sebastian Junger|Vinod Khosla|Whitney Cummings,18,Science,2015,464
Save The Cat!,Blake Snyder,I1VjmAEACAAJ,Eric Weinstein|Joseph Gordon-Levitt|Neville Medhora|Tim Ferriss,4,Performing Arts,2005,195
Say You're One of Them,Uwem Akpan,Vu2lCS1tkgkC,Oprah Winfrey,1,Fiction,2010,304
Scale,Geoffrey West,bJPZDAAAQBAJ,Stewart Brand|Vinod Khosla,2,Science,2017,496
Scarcity,Sendhil Mullainathan,bKapoAEACAAJ,Esther Dyson,1,Decision making,2014,304
Schulz and Peanuts,David Michaelis,omiHL5hnqLcC,Marc Andreessen,1,Biography & Autobiography,2008,704
Science,John Gribbin,rrraAAAAMAAJ,Patrick Collison,1,Science,2002,646
Science Business,Gary P. Pisano,aAMtkR_OYcQC,Bill Gates,1,Business & Economics,2006,237
Science Since Babylon,Derek De Solla Price,_91fAAAAMAAJ,Eric Weinstein,1,Science,1975,215
Science and Method,Henri Poincaré,HFzCAgAAQBAJ,Naval Ravikant,1,Mathematics,2013,304
Screenplay,Syd Field,5GgXl7h5qvQC,Rolf Potts,1,Reference,2007,336
Screw Business As Usual,Richard Branson,cg5DDgAAQBAJ,Elon Musk,1,Biography & Autobiography,2017,384
Sea Flight,Hugh Popham,PRlqBgAAQBAJ,Paul Graham,1,History,2010,208
Sea Kayaking in Baja,Andromeda Romano-Lax,ekkFAAAACAAJ,Caroline Paul,1,Sports & Recreation,1993,153
Search Inside Yourself,Chade-Meng Tan,E_U3NAEACAAJ,Chip Conley|Matt Mullenweg,2,Self-Help,2014,288
Season of the Witch,David Talbot,-WIlCFe-iB4C,Patrick Collison,1,Biography & Autobiography,2013,480
Second Foundation,Isaac Asimov,MLJvB8oTM1oC,Elon Musk|Stewart Brand,2,Fiction,1994,240
Secrets of Closing the Sale,Zig Ziglar,aRPKNOC3GBQC,Seth Godin,1,Business & Economics,2004,432
Secrets of Power Negotiating,Roger Dawson,ObdZzwlPZYIC,Tim Ferriss,1,Business & Economics,2012,320
Secrets of Sand Hill Road,Scott Kupor,tryWDwAAQBAJ,Eric Schmidt|Ryan Hoover,2,Business & Economics,2019,320
Secrets of Strength,Earle Liederman,dD1IHAAACAAJ,Pavel Tsatsouline,1,Physical education and training,1925,218
Secrets of the Flesh,Judith Thurman,bRzkHkFDowQC,J.K. Rowling,1,Biography & Autobiography,2011,640
Security Analysis,Benjamin Graham,-SVwCBG5ZiwC,Warren Buffett,1,Business & Economics,2008,700
Seeing What's Next,Clayton M. Christensen,SZQnfdM9O7wC,Ev Williams,1,Business & Economics,2004,312
Seeking Wisdom,Peter Bevelin,QkX6OQAACAAJ,Charlie Munger|Derek Sivers|Jason Fried|Warren Buffett,4,,2005,288
Selected Epigrams,Martial,SQwwBQAAQBAJ,Ryan Holiday,1,History,2014,189
Self Belief,Jamal Edwards,W81pgSuquCEC,Richard Branson,1,Biography & Autobiography,2013,64
Self-Esteem,Virginia M. Satir,tjchy_3FwiMC,Michael Gervais,1,Self-Help,2001,64
Self-Made Man,Norah Vincent,3flVbiAZmwMC,Emma Watson,1,Social Science,2006,304
Self-Made Success,Shaan Patel,4AfQjwEACAAJ,Mark Cuban,1,,2016,278
Selfish Reasons to Have More Kids,Bryan Caplan,nEw_swEACAAJ,Paul Graham,1,Family & Relationships,2012,240
Serve to Lead,Winston Churchill,7Fy8oQEACAAJ,Jocko Willink,1,,2012,112
Setting the Table,Danny Meyer,epnumt9tRsAC,Chip Conley|Julie Rice,2,Business & Economics,2009,336
Seven Brief Lessons on Physics,Carlo Rovelli,Sg_VCQAAQBAJ,Naval Ravikant,1,Science,2016,96
Seveneves,Neal Stephenson,Jrk2jgEACAAJ,Adam Savage|Bill Gates|Chris Young,3,Fiction,2016,368
Several Short Sentences About Writing,Verlyn Klinkenborg,OsPxrXU9P5gC,Samin Nosrat,1,Language Arts & Disciplines,2013,203
Sex and World Peace,Valerie Hudson,K7CrAgAAQBAJ,Emma Watson,1,Political Science,2012,256
Sex at Dawn,Christopher Ryan,UKl-48uhFq8C,Aubrey Marcus|Esther Perel|Joe Rogan|Naval Ravikant,4,Marriage,2011,394
Sex on the Brain,Deborah Blum,u9wpNS_RjnUC,Ryan Holiday,1,Social Science,1998,352
Sexual Personae,Camille Paglia,8Fx2yBkLIqoC,Michael Pollan,1,Literary Criticism,1991,718
Sexus,Henry Miller,f5-VDAAAQBAJ,Eric Ripert,1,Fiction,2011,656
Shadow & Claw,Gene Wolfe,JSHvM2BMy24C,Neil Gaiman,1,,2012,329
Shadow Divers,Robert Kurson,XLJB3gh7LgkC,Ryan Holiday,1,History,2004,400
Shamanism,Mircea Eliade,OxCnDwAAQBAJ,Jordan Peterson,1,"Body, Mind & Spirit",2004,610
Shamanism & the Sacred Cactus,Douglas Sharon,kTeW4iQj63EC,Hamilton Morris,1,Religion,2003,461
Shame,Salman Rushdie,jDvt4W4XYAQC,Richa Chadha,1,Fiction,2011,320
Shantaram,Gregory David Roberts,5JaxSJlpGmAC,Josh Waitzkin|Kevin Kelly|Richard Branson|Whitney Wolfe Herd,4,Fiction,2012,944
Shattered,Jonathan Allen,QqvNDAAAQBAJ,Larry King|Marc Andreessen|Peter Attia,3,Biography & Autobiography,2017,496
She Always Knew How,Charlotte Chandler,jxjMwF8sKBcC,Dita Von Teese,1,Biography & Autobiography,2012,352
She's Come Undone,Wally Lamb,u7zm2XdT214C,Oprah Winfrey,1,Fiction,2012,480
Sherman,B. H. Liddell Hart,8hZXNrfoZjsC,Ryan Holiday,1,History,2009,474
Shikasta,Doris Lessing,8YASDQAAQBAJ,Adam Savage,1,Fiction,2016,474
Shoe Dog,Phil Knight,lk76yQEACAAJ,Bill Gates|Brian Armstrong|Jason Calacanis|Vlad Tenev|Warren Buffett,5,Biography & Autobiography,2018,400
Shook One,Charlamagne Tha God,L52nDwAAQBAJ,Joe Rogan,1,Self-Help,2019,288
Shopgirl,Steve Martin,9jQ8DwAAQBAJ,Ev Williams,1,Fiction,2001,144
Should We Eat Meat?,Vaclav Smil,PLaYN1RpemwC,Bill Gates,1,Technology & Engineering,2013,280
Show Your Work!,Austin Kleon,NFOLAgAAQBAJ,Chase Jarvis|Derek Sivers,2,Self-Help,2014,224
Showing Up for Life,Bill Gates Sr.,nHAVI8hnRvwC,Bill Gates,1,Self-Help,2009,208
Shōgun,James Clavell,2wNuDwAAQBAJ,Edward Norton|Joe De Sena,2,Fiction,2018,1152
Siddhartha,Hermann Hesse,TNK3NU6nuCUC,Bryan Johnson|David Blaine|Naval Ravikant|Navdeep Chandel|Neil Strauss|Wim Hof,6,Fiction,2010,128
Simple & Direct,Jacques Barzun,O6kuAAAAYAAJ,Tim Ferriss,1,,1868,150
Simple French Food,Richard Olney,zxWJAwAAQBAJ,Samin Nosrat,1,Cooking,2014,455
Simply Brilliant,William C. Taylor,-EIKDAAAQBAJ,Tom Peters,1,Business & Economics,2016,272
Six Days of the Condor,James Grady,VaPQBQAAQBAJ,Bill Gates,1,Fiction,2011,
Six Easy Pieces,Richard P. Feynman,2OCKrF6YNKEC,Naval Ravikant,1,Science,2011,176
Six Thinking Hats,Edward de Bono,5rdESwAACAAJ,Tim Ferriss,1,Creative thinking,2008,177
Sixteen Satires,Juvenal,44NfAAAAMAAJ,Ryan Holiday,1,Poetry,1983,212
Size and Strength Blueprint,Josh Bryant,JTX9rQEACAAJ,Charles Poliquin,1,,2015,166
Sizzling Chops and Devilish Spins,Jerome Charyn,y0M9PgAACAAJ,Brian Koppelman,1,Table tennis,2001,158
Skin in the Game,Nassim Nicholas Taleb,4dQ0DwAAQBAJ,Ben Horowitz|Marc Andreessen|Matt Mullenweg|Naval Ravikant,4,Philosophy,2018,304
Slack,Tom DeMarco,563gvssRPvkC,Ev Williams,1,Business & Economics,2002,227
Slavery,James Walvin,lUHFBQAAQBAJ,Chelsea Handler,1,History,2002,216
Sleep,Nick Littlehales,X7EqDwAAQBAJ,Aubrey Marcus,1,Health & Fitness,2018,208
Slouching Towards Bethlehem,Joan Didion,OjunFwSibEMC,Kara Swisher|Liz Lambert,2,United States,2001,206
Slow Sex,Nicole Daedone,K_21oQEACAAJ,Tony Robbins,1,HEALTH & FITNESS,2014,128
Slugfest,Reed Tucker,WaUFDgAAQBAJ,Marc Andreessen,1,History,2017,304
Small Fry,Lisa Brennan-Jobs,xSchwAEACAAJ,Vlad Tenev,1,Biography & Autobiography,2019,400
Small Giants,Bo Burlingham,X1G0vPPlf50C,Noah Kagan|Tom Peters,2,Business & Economics,2007,268
Small Is Beautiful,E. F. Schumacher,IKo3ALhVFKcC,Emma Watson,1,Business & Economics,2011,288
Small Pieces Loosely Joined,David Weinberger,RWMwHreIh4QC,Ev Williams,1,History,2008,240
Smallpox,D.A. Henderson,1u7Xw5i7Ky0C,Bill Gates,1,Science,2009,334
Smart and Gets Things Done,Avram Joel Spolsky,xUYDm7nq2_AC,Ev Williams,1,Computers,2007,200
Smartcuts,Shane Snow,avJzAwAAQBAJ,Noah Kagan,1,Business & Economics,2014,272
Snow Crash,Neal Stephenson,RMd3GpIFxcUC,Adam Savage|Brandon Stanton|Ev Williams|Larry Page|Naval Ravikant|Ryan Shea|Seth Godin|Tim Ferriss,8,Fiction,2003,480
So Good They Can't Ignore You,Cal Newport,g13ZDAAAQBAJ,Kevin Kelly,1,Business & Economics,2016,304
Society Of The Spectacle,Guy Debord,8Cd5nmMKkNMC,Dave Elitch,1,Philosophy,1998,94
Solve for Happy,Mo Gawdat,03_FCgAAQBAJ,Peter Attia,1,Self-Help,2017,
Someday This Pain Will Be Useful to You,Peter Cameron,ju_5U7iw3qoC,Gretchen Rubin,1,Young Adult Fiction,2009,240
Something Deeply Hidden,Sean Carroll,xGSJDwAAQBAJ,Joe Rogan,1,Science,2019,355
Something Incredibly Wonderful Happens,K. C. Cole,A9qS4hFB9DoC,Patrick Collison,1,Biography & Autobiography,2012,420
Sometimes a Great Notion,Ken Kesey,WToh-xW3cfoC,Jordan Peterson,1,Fiction,2006,715
Son of Hamas,Mosab Hassan Yousef,QFYw0R8S-KMC,Ayaan Hirsi Ali,1,Religion,2011,304
Son of the Morning Star,Evan S. Connell,KcUAHCM47TIC,Joe Rogan,1,History,2011,448
Song of Solomon,Toni Morrison,RxkWfF2s7EUC,Bozoma Saint John|Jesse Williams|Oprah Winfrey,3,Fiction,2007,352
Songs in Ordinary Time,Mary McGarry Morris,iUM7DwAAQBAJ,Oprah Winfrey,1,Fiction,2017,732
Songs of Milarepa,Milarepa,DcbCAgAAQBAJ,Steve Jobs,1,Poetry,2012,128
Soon I Will Be Invincible,Austin Grossman,SSazhpp9YEQC,Naval Ravikant,1,Fiction,2008,304
Spacetime and Geometry,Sean Carroll,PTGdDwAAQBAJ,Patrick Collison,1,Science,2019,500
Spark,John J. Ratey,p3WyoQEACAAJ,Tim Ferriss,1,HEALTH & FITNESS,2014,150
Spastic Diplegia--Bilateral Cerebral Palsy,Lily Collison MA MSc,QEI-zQEACAAJ,Patrick Collison,1,Family & Relationships,2020,368
"Speak Like Churchill, Stand Like Lincoln",James C. Humes,k6t_DmrWam8C,Cal Fussman,1,Language Arts & Disciplines,2009,224
Speaker for the Dead,Orson Scott Card,JJ8ubAShaQYC,Ev Williams,1,Fiction,2009,304
Speed Trap,Charlie Francis,tyj8PAAACAAJ,Ryan Flaherty,1,Anabolic steroids,1991,306
Sperm Wars,Robin Baker,R_prQ-xUCNUC,Brian Armstrong,1,Psychology,2006,300
Sphere,Michael Crichton,t4b69z5hs58C,Ev Williams,1,Fiction,2012,384
Spillover,David Quammen,ezeIZReBMt4C,Jonathan Eisen,1,Medical,2012,587
"Spiritual Enlightenment, the Damnedest Thing",Jed McKenna,y-Go8BNKiDEC,Naval Ravikant,1,"Body, Mind & Spirit",2009,
Spiritual Warfare,Jed McKenna,oMwNJgAACAAJ,Naval Ravikant,1,"Body, Mind & Spirit",2007,328
Spiritually Incorrect Enlightenment,Jed McKenna,IOksQv4dreMC,Naval Ravikant,1,Religion,2009,
Spoken and Written Hindi,Bal Govind Misra,BxwBuwEACAAJ,Eric Weinstein,1,Foreign Language Study,1966,468
Stalin,Edvard Radzinsky,3DtwdU7921YC,Jordan Peterson,1,Biography & Autobiography,2011,624
Stalin,Oleg V. Khlevniuk,YPQ7jgEACAAJ,Brandon Stanton,1,,2016,408
Stalin,Simon Sebag Montefiore,7kZNnKlKNp4C,Elon Musk,1,Biography & Autobiography,2010,820
Stalingrad,Antony Beevor,7n1WnhX17GkC,Richard Branson,1,History,1999,560
Stalingrad,Joachim Wieder,zLIuAAAAIAAJ,Jocko Willink,1,"Stalingrad, Battle of, 1942-1943",1955,112
Standing on Z,Stuart Dischell,nYL6jwEACAAJ,Rolf Potts,1,American poetry,2016,27
Star Maker,Olaf Stapledon,ZGCmVpuuk9QC,Stewart Brand,1,Fiction,2008,192
Stargirl,Jerry Spinelli,1UpjXRSEGA0C,Taylor Swift,1,Juvenile Fiction,2011,192
Start with Why,Simon Sinek,r2yCRUxo0EYC,Julie Rice|Richard Branson|Robert Rodriguez|Tony Hsieh,4,Business & Economics,2011,256
State of the Art,Iain M. Banks,CD8212z2MpcC,Elon Musk|Stewart Brand,2,Fiction,2010,224
Stay the Course,John C. Bogle,Mwh0DwAAQBAJ,Mr. Money Mustache,1,Business & Economics,2018,320
Steal Like an Artist,Austin Kleon,NVZuUSJtpcQC,Chase Jarvis,1,Self-Help,2012,160
Stealing Fire,Steven Kotler,I2tinQAACAAJ,Aubrey Marcus|Joe Rogan,2,Business & Economics,2018,304
Steppenwolf,Hermann Hesse,aplMBAAAQBAJ,Amanda Palmer,1,"Civilization, Western",2010,166
Steve Jobs,Walter Isaacson,8U2oAAAAQBAJ,Bill Gates|Chris Fussell|Ed Zschau|Elon Musk|Gary Vaynerchuk|George Raveling|Ray Dalio|Scott Adams|Scott Belsky,9,Biography & Autobiography,2011,630
Steve Jobs & the Next Big Thing,Randall E. Stross,8U2oAAAAQBAJ,Keith Rabois,1,Biography & Autobiography,2011,630
Still Writing,Dani Shapiro,envGAgAAQBAJ,Maria Popova,1,Reference,2013,256
Stolen Lives,Malika Oufkir,2OMOAAAACAAJ,Oprah Winfrey,1,Biography & Autobiography,2002,431
Stone Age Economics,Marshall Sahlins,LTUlDwAAQBAJ,Seth Godin,1,Business & Economics,2017,376
Stones from the River,Ursula Hegi,oMx9k6wH5aMC,Oprah Winfrey,1,Fiction,2011,528
Stop Stealing Sheep & Find Out How Type Works,Erik Spiekermann,wKlKAgAAQBAJ,Debbie Millman,1,Computers,2013,213
Stories of Your Life and Others,Ted Chiang,VbbyBgAAQBAJ,Naval Ravikant|Patrick Collison|Tim Ferriss,3,Fiction,2015,320
Storm of Steel,Ernst Jünger,q-LjDQAAQBAJ,Jocko Willink,1,History,2016,320
Story,Robert McKee,6y_AR8EZI54C,Rolf Potts,1,Performing Arts,2010,480
Strangers Drowning,Larissa MacFarquhar,yWRTDQAAQBAJ,Nick Thompson,1,Philosophy,2016,336
Strangers to Ourselves,Timothy D. Wilson,W4yzugYjz08C,Malcolm Gladwell,1,Psychology,2004,272
Strengths Based Leadership,Tom Rath,F9xDCwAAQBAJ,Brian Armstrong,1,Business & Economics,2008,266
StrengthsFinder 2.0,Tom Rath,gttDCwAAQBAJ,Neil Strauss,1,Business & Economics,2007,175
"Stress Less, Accomplish More",Emily Fletcher,f8putwEACAAJ,Aubrey Marcus,1,"Body, Mind & Spirit",2019,272
Stress Test,Timothy F. Geithner,gGmKDQAAQBAJ,Bill Gates|Mr. Money Mustache|Warren Buffett,3,Biography & Autobiography,2014,580
Stretch,Scott Sonenshein,ku8qDAAAQBAJ,Brené Brown,1,Business & Economics,2017,304
Stretching the School Dollar,Frederick M. Hess,eg25cQAACAAJ,Bill Gates,1,Education,2010,351
Striking Thoughts,Bruce Lee,FbqHCgAAQBAJ,Naval Ravikant,1,Sports & Recreation,2015,256
String Theory,David Foster Wallace,7gnujgEACAAJ,Ben Shapiro|Bill Gates,2,Biography & Autobiography,2016,176
"Strong Fathers, Strong Daughters",Meg Meeker,ysxOl41noKMC,Dave Ramsey,1,Family & Relationships,2006,296
"Strong Mothers, Strong Sons",Meg Meeker,_clvDwAAQBAJ,Dave Ramsey,1,Family & Relationships,2014,341
Structure and Interpretation of Classical Mechanics,Gerald Jay Sussman,a4-pBgAAQBAJ,Patrick Collison,1,Science,2015,584
Structure and Interpretation of Computer Programs,Harold Abelson,1DrQngEACAAJ,Max Levchin|Patrick Collison|Paul Graham,3,Computers,1996,657
Stuff Matters,Mark Miodownik,_5yUAwAAQBAJ,Bill Gates|Patrick Collison,2,History,2014,252
Stumbling on Happiness,Daniel Todd Gilbert,2U-HbwwjR24C,Derek Sivers|Ev Williams|Maria Popova|Sam Harris|Tim Ferriss,5,Psychology,2009,336
Subliminal,Leonard Mlodinow,V7wt3Sqj_X8C,Ray Dalio,1,Business & Economics,2013,260
Suffering Is Optional,Cheri Huber,p-YOAAAACAAJ,Jane McGonigal,1,"Body, Mind & Spirit",2002,240
Sugar Blues,William Dufty,7hZkPwAACAAJ,Maurice Ashley,1,,1981,
Sula,Toni Morrison,7LeVDAAAQBAJ,Oprah Winfrey,1,Fiction,2015,186
Sum,David Eagleman,-cjWiI8DEywC,Derek Sivers|Patrick Collison|Tim Ferriss,3,Fiction,2009,107
Super Sad True Love Story,Gary Shteyngart,dkG23PnEXIkC,Whitney Cummings,1,Fiction,2011,331
SuperFreakonomics,Steven D. Levitt,bT_mCTfPFWYC,Bill Gates,1,Business & Economics,2011,304
Superforecasting,Philip E. Tetlock,hC_qBQAAQBAJ,Julia Galef,1,Business & Economics,2015,352
Superintelligence,Nick Bostrom,7_H8AwAAQBAJ,Elon Musk|Marc Goodman|Naval Ravikant|Sam Harris|Will MacAskill,5,Computers,2014,328
Supermanifolds,Bryce DeWitt,0NinYnTQa-gC,Eric Weinstein,1,Science,1992,407
Supermoney,Adam Smith,5LKCQgAACAAJ,Warren Buffett,1,Investments,1973,301
Surface Detail,Iain M. Banks,eDt6lmVX_k0C,Elon Musk,1,Fiction,2010,640
Sustainable Energy,David JC MacKay,IsgiPQAACAAJ,Bill Gates,1,Business & Economics,2009,366
Sustainable Materials,Julian M. Allwood,GGaHtQAACAAJ,Bill Gates,1,Science,2012,373
Swallows and Amazons,Arthur Ransome,8NWGAAAACAAJ,Richard Branson,1,Adventure,1993,392
Sweet Soul Music,Peter Guralnick,IRycxiRjvKoC,Ta-Nehisi Coates,1,Music,2002,384
Swimming Across,Andrew S. Grove,vUKoDwAAQBAJ,Keith Rabois,1,Biography & Autobiography,2019,
Symbols of Transformation,Carl Jung,xxR9AAAAMAAJ,Jordan Peterson,1,Psychology,1956,
Symmetry,Hermann Weyl,GG1FCQAAQBAJ,Eric Weinstein,1,Science,2015,176
Symposium,Plato,pgzAAwAAQBAJ,Bryan Callen,1,Philosophy,2003,49
Synchronicity,Carl Jung,usrGSaO7QosC,Ricardo Semler,1,Psychology,1997,177
Systemantics,John Gall,Yb5aAAAAMAAJ,Jordan Peterson,1,Humor,1986,319
Take on the Street,Arthur Levitt,Gqg_DwAAQBAJ,Warren Buffett,1,Business & Economics,2003,364
Taking the Work Out of Networking,Karen Wickre,RJZ5DwAAQBAJ,Chip Conley|Chris Anderson|Ryan Hoover,3,Business & Economics,2018,240
Talent Wins,Ram Charan,xXMzDwAAQBAJ,Keith Rabois,1,Business & Economics,2018,192
Tales of Magic Boxed Set,Edward Eager,esEzCwAAQBAJ,Gretchen Rubin,1,Juvenile Fiction,2016,896
Tales of the Unexpected,Roald Dahl,4WEPAQAAIAAJ,Richard Branson,1,Fiction,1980,127
Talking to Humans,Giff Constable,ggzGoQEACAAJ,Ron Conway,1,Customer relations,2014,87
Tao Te Ching,Lao Tzu,kpWfW4-8bCEC,Brian MacKenzie|Jason Nemer|Josh Waitzkin|Michael Gervais|Naval Ravikant|Rick Rubin|Soman Chainani|Stewart Brand|Tim Ferriss,9,,1842,
Tao of Jeet Kune Do,Bruce Lee,g37ysgEACAAJ,Ed Latimore,1,Sports & Recreation,2011,245
Tao of Philosophy,Alan Watts,GLLFHGoHPJwC,Naval Ravikant,1,Philosophy,1999,128
Tap Dancing to Work,Carol J. Loomis,SspKuwAACAAJ,Bill Gates,1,Capitalists and financiers,2012,345
Tara Road,Maeve Binchy,gD1WXiSrdSMC,Oprah Winfrey,1,Fiction,2009,656
Teach Yourself Hindi,Rupert Snell,dpgYgumi-s8C,Eric Weinstein,1,Foreign Language Study,2011,496
Team Dog,Mike Ritland,T-1vDwAAQBAJ,Jocko Willink,1,Dogs,2016,232
Team of Rivals,Doris Kearns Goodwin,ONhhui9SRsMC,Bill Gates|J.K. Rowling|Scott Belsky,3,Biography & Autobiography,2006,916
Team of Teams,Stanley McChrystal,wW4CDAAAQBAJ,Doug McMillon|M. Sanjayan,2,Business & Economics,2015,290
TechGnosis,Erik Davis,kdJnBAAAQBAJ,Jason Silva,1,Computers,2015,456
Technics and Civilization,Lewis Mumford,PU7PktesGUoC,Patrick Collison,1,History,2010,495
Technopoly,Neil Postman,gYrIVidSiLIC,Tristan Harris,1,Technology & Engineering,2011,240
Teenage Mutant Ninja Turtles,Kevin Eastman,BH1gCgAAQBAJ,Joe Gebbia,1,Comics & Graphic Novels,,
Tenth of December,George Saunders,wQz-1BR2rTYC,Dave Elitch,1,Fiction,2013,272
Tesla,Margaret Cheney,HIuK7iLO9zgC,Ev Williams,1,Biography & Autobiography,2011,400
That Used to Be Us,Thomas L. Friedman,ueZYkM1JWvEC,Bill Gates,1,Political Science,2012,432
That Will Never Work,Marc Randolph,2ZqZDwAAQBAJ,Reed Hastings,1,Business & Economics,2019,336
That's What She Said,Joanne Lipman,-hncDgAAQBAJ,Mark Cuban,1,Business & Economics,2018,320
The 10 Habits of Happy Mothers,Meg Meeker,s2LLwAEACAAJ,Dave Ramsey,1,Family & Relationships,2011,222
"The 10,000 Year Explosion",Gregory Cochran,VrpUh0rRYvsC,Nick Szabo,1,Science,2009,304
The 100-Year Life,Lynda Gratton,Zm4wDQAAQBAJ,Chip Conley,1,"Finance, Personal",2016,256
The 13 Clocks,James Thurber,HdCoDAAAQBAJ,Neil Gaiman,1,Fiction,2016,128
The 15 Commitments of Conscious Leadership,Jim Dethmer,8JsKogEACAAJ,Brian Armstrong|Dustin Moskovitz|Tony Robbins,3,Leadership,2015,361
The 21 Irrefutable Laws of Leadership,John C. Maxwell,p-NaVKOmmG4C,Dave Ramsey,1,Business & Economics,2007,336
The 22 Immutable Laws of Branding,Al Ries,P78R-5OnaqsC,Ramit Sethi,1,Business & Economics,2009,272
The 22 Immutable Laws of Marketing,Al Ries,e8SgPwAACAAJ,Brian Armstrong|Chase Jarvis|Tim Ferriss|Tristan Harris,4,Marketing,1994,160
The 4 Disciplines of Execution,Chris McChesney,wu4A8LJpYD8C,Tim Ferriss,1,Business & Economics,2012,352
The 4-Hour Workweek,Tim Ferriss,MemLDgAAQBAJ,A.J. Jacobs|Blake Mycoskie|Bryan Callen|Caterina Fake|Charles Poliquin|Daniel Pink|David Heinemeier Hansson|Eric Weinstein|Jason Silva|Laura R Walker|Marc Goodman|Mark Bell|Maurice Ashley|Mike Shinoda|Tristan Harris|Walter Isaacson,16,Business & Economics,2017,96
The 48 Laws of Power,Robert Greene,P_zMW3EHnTEC,Alice Little|Aubrey Marcus|DJ Vlad|Ryan Holiday,4,"Body, Mind & Spirit",2010,463
The 49th Mystic,Ted Dekker,wICnvAEACAAJ,Aubrey Marcus,1,Fiction,2019,432
The 5 Love Languages,Gary Chapman,ppLwoOk5A8MC,Dustin Moskovitz,1,Family & Relationships,2009,80
The 7 Habits of Highly Effective People,Stephen R. Covey,sm4TAgAAQBAJ,Daniel Pink|Dave Ramsey|Dustin Moskovitz|Ken Block|Michael McCullough|Shay Carl,6,Business & Economics,2013,391
The 80/20 Principle and 92 Other Powerful Laws of Nature,Richard Koch,qmTgG0LseYQC,Dave Camarillo|Keith Rabois|Tim Ferriss,3,Science,2013,338
The Act of Creation,Arthur Koestler,IbLEjwEACAAJ,Adam Robinson,1,"Creation (Literary, artistic, etc.)",2014,752
The Adventures of Hajji Baba of Ispahan,James Morier,K1QJAAAAQAAJ,Patrick Collison,1,Iran,1824,387
The Adventures of Johnny Bunko,Daniel Pink,U27lU1ibfBgC,Kevin Kelly,1,Business & Economics,2008,160
The Adventures of Tom Sawyer,Mark Twain,-HpXBAAAQBAJ,Richard Branson,1,Juvenile Fiction,2014,324
The Affair,Lee Child,QV_BfCQUvq4C,Malcolm Gladwell,1,Fiction,2012,590
The Age of Absurdity,Michael Foley,CAZHAfhi-UkC,David Heinemeier Hansson,1,Philosophy,2010,272
The Age of Giant Corporations,Robert Sobel,0W3sAAAAMAAJ,Paul Graham,1,Business & Economics,1972,257
The Age of Innocence,Edith Wharton,6s4cn6fzQUgC,Ta-Nehisi Coates,1,Fiction,1995,400
The Age of Napoleon,Will & Ariel Durant,JiE3GbPcJcwC,Larry Ellison,1,History,2011,872
The Age of Spiritual Machines,Ray Kurzweil,lbl4MN3iUHsC,Steve Jurvetson,1,Computers,2000,400
The Age of Surveillance Capitalism,Shoshana Zuboff,MJ5ADwAAQBAJ,Vinod Khosla,1,Business & Economics,2019,704
